AirlineID,Name,IATA,ICAO,Callsign,Country,Active
5013,Thomsonfly,BY,TOM,TOMSON,United Kingdom,Y
5014,Top Air,N/A,TOP,AIR TOP,Turkey,N
5015,Toronto Airways,N/A,TOR,TORONTAIR,Canada,N
5016,Tropic Air,PM,TOS,TROPISER,Belize,Y
5017,Totavia,N/A,TOT,N/A,Canada,N
5018,Tower Air,FF,TOW,TEE AIR,United States,N
5019,Toyota Canada,N/A,TOY,TOYOTA,Canada,N
5020,TAMPA,QT,TPA,TAMPA,Colombia,Y
5021,Top Speed,N/A,TPD,TOP SPEED,Austria,N
5022,Taxis Aereos del Pacifico,N/A,TPF,TAXIPACIFICO,Mexico,N
5023,Transportes Aereos Pegaso,N/A,TPG,TRANSPEGASO,Mexico,N
5024,TAR Interpilot,N/A,TPL,INTERPILOT,Mauritania,N
5025,Transpais Aereo,N/A,TPM,TRANSPAIS,Mexico,N
5026,Transportacion Aerea del Norte,N/A,TPN,AEREA DELNORTE,Mexico,N
5027,Transpac Express,N/A,TPP,TRANS EXPRESS,Australia,N
5028,Taxis Aereos De Parral,N/A,TPR,TAXIS PARRAL,Mexico,N
5029,TAPSA Transportes Aereos Petroleros,N/A,TPS,TAPSA,Argentina,N
5030,Transportes Aereo del Sureste,N/A,TPT,TASSA,Mexico,N
5031,Trans American Airlines (Trans Am),N/A,TPU,TRANS PERU,Peru,N
5032,Thai Pacific Airlines Business,N/A,TPV,THAI PACIFIC,Thailand,N
5033,Transportes Aereos De Xalapa,N/A,TPX,TRANSXALAPA,Mexico,N
5034,Trans-Provincial Airlines,N/A,TPY,TRANS PROVINCIAL,Canada,N
5035,Transportes La Paz,N/A,TPZ,TRANSPAZ,Mexico,N
5036,Taquan Air Services,N/A,TQN,TAQUAN,United States,N
5037,Transportacion Aerea De Queretaro,N/A,TQR,TRANSQUERETARO,Mexico,N
5038,TransAsia Airways,GE,TNA,TransAsia,Taiwan,Y
5039,Transavia Holland,HV,TRA,TRANSAVIA,Netherlands,Y
5040,Trans Air Charter,N/A,TRC,TRACKER,United States,N
5041,TACV,VR,TCV,CABOVERDE,Portugal,Y
5042,Trans Island Air,N/A,TRD,TRANS ISLAND,Barbados,N
5043,Taxi Air Fret,N/A,TRF,TAXI JET,France,N
5044,TRAGSA (Medios Aereos),N/A,TRG,N/A,Spain,N
5045,Trans Euro Air,N/A,TRJ,HIGH TIDE,United Kingdom,N
5046,Transport Aerien de Mauritanie,N/A,TRM,SOTRANS,Mauritania,N
5047,Tropic Airlines-Air Molokai,N/A,TRO,MOLOKAI,United States,N
5048,Turdus Airways,N/A,TRQ,HUNTER,Netherland,N
5049,Tramson Limited,N/A,TRR,TRAMSON,Sudan,N
5050,Trans Arabian Air Transport,N/A,TRT,TRANS ARABIAN,Sudan,N
5051,Triangle Airline (Uganda),N/A,TRU,TRI AIR,Uganda,N
5052,Transwestern Airlines of Utah,N/A,TRW,TRANS-WEST,United States,N
5053,Tristar Airlines,N/A,TRY,TRISTAR AIR,United States,N
5054,TransMeridian Airlines,T9,TRZ,TRANS-MERIDIAN,United States,N
5055,Transair France,N/A,TSA,AIRTRAF,France,N
5056,TAF-Linhas Aereas,N/A,TSD,TAFI,Brazil,N
5057,Transmile Air Services,TH,TSE,TRANSMILE,Malaysia,N
5058,Trans-Air-Congo,N/A,TSG,TRANS-CONGO,Republic of the Congo,N
5059,Transport'air,N/A,TSI,TRANSPORTAIR,France,N
5060,Trast Aero,S5,TSJ,TRAST AERO,Kyrgyzstan,N
5061,Trast Aero,N/A,TSK,TOMSK-AVIA,Kyrgyzstan,N
5062,Thai Aviation Services,N/A,TSL,THAI AVIATION,Thailand,N
5063,Taftan Airlines,N/A,SBT,TAFTAN,Iran,N
5064,Transwest Air,9T,ABS,ATHABASKA,Canada,Y
5065,Trans Sayegh Airport Services,N/A,TSM,N/A,Lebanon,N
5066,Trans-Air Services,N/A,TSN,AIR TRANS,Nigeria,N
5067,Transaero Airlines,UN,TSO,TRANSOVIET,Russia,Y
5068,Transportes Aereos Inter,N/A,TSP,TRANSPO-INTER,Guatemala,N
5069,Trans Service Airlift,N/A,TSR,TRANS SERVICE,Democratic Republic of Congo,N
5070,Tri-State Aero,N/A,TSS,TRI-STATE,United States,N
5071,TRAST,N/A,TST,TRAST,Kazakhstan,N
5072,Tropair Airservices,N/A,TSV,TROPIC,United Kingdom,N
5073,Transwings,N/A,TSW,SWISSTRANS,Switzerland,N
5074,Thai Star Airlines,T9,TSX,THAI STAR,Thailand,N
5075,Tristar Air,N/A,TSY,TRIPLE STAR,Egypt,N
5076,TTA - Sociedade de Transporte e Trabalho Aereo,N/A,TTA,KANIMANBO,Mozambique,N
5077,Transteco,N/A,TTC,TRANSTECO,Angola,N
5078,Tarhan Tower Airlines,N/A,TTH,N/A,Turkey,N
5079,Total Linhas Aereas,N/A,TTL,TOTAL,Brazil,N
5080,Triple O Aviation,N/A,TTP,MIGHTY WING,Nigeria,N
5081,Transportaciones Y Servicios Aereos,N/A,TTR,TRANSPORTACIONES,Mexico,N
5082,Transporte Aereo Tecnico Ejecutivo,N/A,TTS,TECNICO,Mexico,N
5083,Turkmenistan Airlines,T5,TUA,TURKMENISTAN,Turkmenistan,Y
5084,Turismo Aereo de Chile,N/A,TUC,TURICHILE,Chile,N
5085,Tuninter,UG,TUI,N/A,Tunisia,Y
5086,Tulpar Air,N/A,TUL,URSAL,Russia,N
5087,Tyumenspecavia,N/A,TUM,TUMTEL,Russia,N
5088,Taxi Aereo Turistico,N/A,TUO,TURISTICO,Mexico,N
5089,Tulpar Air Service,N/A,TUX,TULPA,Kazakhstan,N
5090,Tuna Aero,N/A,TUZ,TUNA,Sweden,N
5091,Trans America Airlines,N/A,TVA,TRANS-AMERICA,United States,N
5092,Trabajos Aereos Vascongados,N/A,TVH,TRAVASA,Spain,N
5093,Tiramavia,N/A,TVI,TIRAMAVIA,Moldova,N
5094,Travel Service,N/A,TVL,TRAVEL SERVICE,Hungary,N
5095,Transavio,N/A,TVO,TRANS-BALLERIO,Italy,N
5096,Tavrey Airlines,T6,TVR,TAVREY,Ukraine,N
5097,Travel Service,QS,TVS,SKYTRAVEL,Czech Republic,Y
5098,Trans World Airlines,TW,TWA,TWA,United States,N
5099,Transwede Airways,N/A,TWE,TRANSWEDE,Sweden,N
5100,Twinjet Aircraft Sales,N/A,TWJ,N/A,United Kingdom,N
5101,Tradewinds Aviation,N/A,TWL,TRADEWINDS CANADA,Canada,N
5102,Transairways,N/A,TWM,N/A,Mozambique,N
5103,Twente Airlines,N/A,TWO,COLIBRI,Netherlands,N
5104,Trans Air Welwitchia,N/A,TWW,WELWITCHIA,Angola,N
5105,Texair Charter,N/A,TXA,OKAY AIR,United States,N
5106,Transaviaexport,AL,TXC,TRANSEXPORT,Belarus,N
5107,Transilvania Express,N/A,TXE,TRANSAIR EXPRESS,Romania,N
5108,Taxi Aereo Cozatl,N/A,TXL,TAXI COZATL,Mexico,N
5109,Taxi Aereo de Mexico,N/A,TXM,TAXIMEX,Mexico,N
5110,Texas National Airlines,N/A,TXN,TEXAS NATIONAL,United States,N
5111,Taxis Aereos de Sinaloa,N/A,TXO,TAXIS SINALOA,Mexico,N
5112,Taxirey,N/A,TXR,TAXIREY,Mexico,N
5113,Texas Airlines,N/A,TXS,TEXAIR,United States,N
5114,Texas Air Charters,N/A,TXT,TEXAS CHARTER,United States,N
5115,Tex Star Air Freight,N/A,TXZ,TEX STAR,United States,N
5116,Tayflite,N/A,TYF,TAYFLITE,United Kingdom,N
5117,Trygg-Flyg,N/A,TYG,TRYGG,Sweden,N
5118,Tyrol Air Ambulance,N/A,TYW,TYROL AMBULANCE,Austria,N
5119,Transporte Aereo Ernesto Saenz,N/A,TZE,TRANSPORTE SAENZ,Mexico,N
5120,Tajikstan,N/A,TZK,TAJIKSTAN,Tajikistan,N
5121,Thyssen Krupp AG,N/A,BLI,BLUELINE,Germany,N
5122,TUIfly Nordic,6B,BLX,BLUESCAN,Sweden,Y
5123,Transportes Aereos Bolivianos,N/A,BOL,BOL,Bolivia,N
5124,Tiphook PLC,N/A,BOX,BOX,United Kingdom,N
5125,Top Flight Air Service,N/A,CHE,CHECK AIR,United States,N
5126,Trans America,N/A,CLR,CLINTON AIRWAYS,United States,N
5127,Triple Alpha,N/A,CLU,CAROLUS,Germany,N
5128,Tashkent Aircraft Production Corporation,N/A,CTP,CORTAS,Uzbekistan,N
5129,Texas Airways,N/A,CWT,TEXAS AIRWAYS,United States,N
5130,Transportes Aereos Don Carlos,N/A,DCL,DON CARLOS,Chile,N
5131,Telnic Limited,N/A,DOT,DOT TEL,United Kingdom,N
5132,Triton Airlines,N/A,DRC,TRITON AIR,Canada,N
5133,TAAG Angola Airlines,DT,DTA,DTA,Angola,Y
5134,Tassili Airlines,SF,DTH,TASSILI AIR,Algeria,N
5135,Transporte Ejecutivo Aereo,N/A,EAR,EJECUTIVO-AEREO,Mexico,N
5136,Transportes Aereos Nacionales De Selva Tans,N/A,ELV,AEREOS SELVA,Peru,N
5137,TAG Farnborough Airport,N/A,FBO,N/A,United Kingdom,N
5138,Transaviaservice,N/A,FNV,TRANSAVIASERVICE,Georgia,N
5139,TAG Aviation,N/A,FPG,TAG AVIATION,Switzerland,N
5140,The 955 Preservation Group,N/A,GFN,GRIFFON,United Kingdom,N
5141,Trans-Air-Link,N/A,GJB,SKY TRUCK,United States,N
5142,Tradewind Aviation,N/A,GPD,GOODSPEED,United States,N
5143,Trail Lake Flying Service,N/A,HBA,HARBOR AIR,United States,N
5144,TAF Helicopters,N/A,HET,HELITAF,Spain,N
5145,Tango Bravo,N/A,HTO,HELI TANGO,France,N
5146,Turkish Air Force,N/A,HVK,TURKISH AIRFORCE,Turkey,Y
5147,Thryluthjonustan,N/A,IHS,N/A,Iceland,N
5148,TA-Air Airline,N/A,IRF,TA-AIR,Iran,N
5149,Tara Air Line,N/A,IRR,TARAIR,Iran,N
5150,Trading Air Cargo,N/A,JCH,TRADING CARGO,Mauritania,N
5151,Trans-Kiev,N/A,KCA,TRANS-KIEV,Ukraine,N
5152,Tal Air Charters,N/A,JEL,JETEL,Canada,N
5153,Transcontinental Airlines,N/A,KRA,REGATA,Kazakhstan,N
5154,Transaviabaltika,N/A,KTB,TRANSBALTIKA,Lithuania,N
5155,Transair-Gyraintiee,N/A,KTS,KOTAIR,Russia,N
5156,TAM Mercosur,PZ,LAP,PARAGUAYA,Paraguay,Y
5157,The Lancair Company,N/A,LCC,LANCAIR,United States,N
5158,The Army Aviation Heritage Foundation,N/A,LEG,LEGACY,United States,N
5159,Top Sky International,N/A,LKW,TOPINTER,Indonesia,N
5160,Trans States Airlines,AX,LOF,WATERSKI,United States,Y
5161,Trans Atlantis,N/A,LTA,LANTRA,Canada,N
5162,Transportacion Aerea Del Mar De Cortes,N/A,MCT,TRANS CORTES,Mexico,N
5163,Transporte Aero MGM,N/A,MGM,AERO EMM-GEE-EMM,Mexico,N
5164,Tigerfly,N/A,MOH,MOTH,United Kingdom,N
5165,Transportes Aereos Amparo,N/A,MPO,AMPARO,Mexico,N
5166,Trans Air,N/A,MUI,MAUI,United States,N
5167,Transportes Aereos Mexiquenses,N/A,MXQ,MEXIQUENSES,Mexico,N
5168,Travelsky Technology,1E,N/A,N/A,China,N
5169,Thalys,2H,N/A,N/A,Belgium,N
5171,TNT International Aviation,N/A,NTR,NITRO,United Kingdom,N
5172,Open Skies Consultative Commission,1L,OSY,OPEN SKIES,United States,N
5173,Trans-Pacific Orient Airways,N/A,PCW,PACIFIC ORIENT,Philippines,N
5174,Tauranga Aer Club,N/A,PGS,N/A,New Zealand,N
5175,TSSKB-Progress,N/A,PSS,PROGRESS,Russia,N
5176,Trans World Express,N/A,RBD,RED BIRD,United States,N
5177,Trans Reco,N/A,REC,TRANS-RECO,Mauritania,N
5178,Tas Aviation,N/A,RMS,TASS AIR,United States,N
5179,Tarom,RO,ROT,TAROM,Romania,Y
5180,Transportes Aereos I.R. Crusoe,N/A,ROU,ROBINSON CRUSOE,Chile,N
5181,Transportes Aereos Sierra,N/A,RRT,SIERRA ALTA,Mexico,N
5182,Tbilisi Aviation University,N/A,RRY,AIRFERRY,Georgia,N
5183,Trans Am Compania,N/A,RTM,AERO TRANSAM,Ecuador,N
5184,Trans Sahara Air,N/A,SBJ,TRANS SAHARA,Nigeria,N
5185,Transportes Aereos Sierra Madre,N/A,SEI,TRANSPORTE SIERRA,Mexico,N
5186,Trans Asian Airlines,N/A,SRT,TRASER,Kazakhstan,N
5187,Turan Air,3T,URN,TURAN,Azerbaijan,Y
5188,TRIP Linhas A,8R,TIB,TRIP,Brazil,Y
5189,Tusheti,N/A,USB,TUSHETI,Georgia,N
5190,TAPC Aviatrans Aircompany,N/A,UTM,AVIATAPS,Uzbekistan,N
5191,Trans-Ulgii,N/A,UTN,TRANS-ULGII,Mongolia,N
5192,Transarabian Transportation Services,N/A,UTT,ARABIAN TRANSPORT,Uganda,N
5193,Transaven,N/A,VEN,TRANSAVEN AIRLINE,Venezuela,N
5194,Tag Aviation UK,N/A,VIP,SOVEREIGN,United Kingdom,N
5195,Tbilaviamsheni,N/A,VNZ,TBILAVIA,Georgia,N
5196,Taxi de Veracruz,N/A,VRC,VERACRUZ,Mexico,N
5197,Travel Express Aviation Services,N/A,XAR,TRAVEL EXPRESS,Indonesia,N
5198,Taxi Aero Del Norte,N/A,XNR,TAXI NORTE,Mexico,N
5199,Transports et Travaux A,OF,N/A,N/A,N/A,N
5202,USAF Air Mobility Operations Control Center,N/A,DOD,N/A,United States,N
5203,U.S. Department of the Interior,N/A,DOI,INTERIOR,United States,N
5204,United Kingdom Civil Aviation Authority,N/A,EXM,EXAM,United Kingdom,N
5205,Union des Transports Africains de Guinee,N/A,GIH,TRANSPORT AFRICAIN,Guinea,N
5206,US Army Parachute Team,N/A,GKA,GOLDEN KNIGHTS,United States,N
5207,USA3000 Airlines,U5,GWY,GETAWAY,United States,Y
5208,United Arabian Airlines,N/A,UAB,UNITED ARABIAN,Sudan,N
5209,United Airlines,UA,UAL,UNITED,United States,Y
5210,United Air Charters,N/A,UAC,UNITAIR,Zimbabwe,Y
5211,United Carriers Systems,N/A,UCS,UNITED CARRIERS,United States,N
5212,United Eagle Airlines,N/A,UEA,UNITED EAGLE,China,N
5213,United Feeder Service,U2,N/A,N/A,United States,N
5214,United Kingdom Civil Aviation Authority,N/A,CFU,MINAIR,United Kingdom,N
5215,United Kingdom Royal VIP Flights,N/A,KRF,KITTYHAWK,United Kingdom,N
5216,United Kingdom Royal VIP Flight,N/A,KRH,SPARROWHAWK,United Kingdom,N
5217,United Kingdom Civil Aviation Authority,N/A,SDS,STANDARDS,United Kingdom,N
5218,United Kingdom Royal VIP Flights,N/A,TQF,RAINBOW,United Kingdom,N
5219,United States Coast Guard Auxiliary,N/A,CGX,COASTGUARD AUXAIR,United States,N
5220,United States Department Of Agriculture,N/A,AGR,AGRICULTURE,United States,N
5221,University Air Squadron,N/A,UAD,N/A,United Kingdom,N
5222,University Air Squadron,N/A,UAJ,N/A,United Kingdom,N
5223,University Air Squadron,N/A,UAA,N/A,United Kingdom,N
5224,University Air Squadron,N/A,UAH,N/A,United Kingdom,N
5225,Universal Avia,N/A,HBU,KHARKIV UNIVERSAL,Ukraine,N
5226,UK HEMS,N/A,HLE,HELIMED,United Kingdom,N
5227,USA Jet Airlines,U7,JUS,JET USA,United States,N
5228,Unijet,N/A,LEA,LEADAIR,France,N
5229,US Marshals Service,N/A,MSH,MARSHALAIR,United States,N
5230,University of North Dakota,N/A,NDU,SIOUX,United States,N
5231,Universal Airlines,N/A,PNA,PACIFIC NORTHERN,United States,N
5232,Uganda Royal Airways,N/A,RAU,UGANDA ROYAL,Uganda,N
5233,United Aviation Services,N/A,SAU,UNISERVE,Spain,N
5234,Ural Airlines,U6,SVR,SVERDLOVSK AIR,Russia,Y
5235,Ukraine Transavia,N/A,TRB,KIROVTRANS,Ukraine,N
5236,United Arab Emirates Air Force,N/A,UAF,UNIFORCE,United Arab Emirates,N
5237,Union Africaine des Transports,N/A,UAI,UNAIR,Ivory Coast,N
5238,Uganda Air Cargo,N/A,UCC,UGANDA CARGO,Uganda,N
5239,US Airports Air Charter,N/A,UCH,US CHARTER,United States,N
5240,Ucoaviacion,N/A,UCO,UCOAVIACION,Spain,N
5241,Ues-Avia Aircompany,N/A,UES,AVIASYSTEM,Ukraine,N
5242,UFS,N/A,UFS,FEEDER EXPRESS,United States,N
5243,Uganda Airlines,N/A,UGA,UGANDA,Uganda,N
5244,Urgemer Canarias,N/A,UGC,URGEMER,Spain,N
5245,Ukrainian Helicopters,N/A,UHL,UKRAINE COPTERS,Ukraine,N
5246,Ulyanovsk Higher Civil Aviation School,N/A,UHS,PILOT AIR,Russia,N
5247,Universal Jet Rental de Mexico,N/A,UJR,UNIVERSAL JET,Mexico,N
5248,Universal Jet Aviation,N/A,UJT,UNI-JET,United States,N
5249,UK International Airlines,N/A,UKI,KHALIQ,United Kingdom,N
5250,Ukraine Air Alliance,N/A,UKL,UKRAINE ALLIANCE,Ukraine,N
5251,UM Airlines,UF,UKM,UKRAINE MEDITERRANEE,Ukraine,Y
5252,Ukraine Air Enterprise,N/A,UKN,ENTERPRISE UKRAINE,Ukraine,N
5253,United Kingdom Home Office,N/A,UKP,POLICE,United Kingdom,N
5254,Ukrainian Cargo Airways,6Z,UKS,CARGOTRANS,Ukraine,N
5255,Ultrair,N/A,ULT,ULTRAIR,United States,N
5256,Unitemp-M,N/A,UMS,TOPAZ,Russia,N
5257,Uni-Fly,N/A,UNC,UNICOPTER,Denmark,N
5258,Union Flights,N/A,UNF,UNION FLIGHTS,United States,N
5259,Universal Jet,N/A,UNJ,PROJET,Spain,N
5260,Unsped Paket Servisi,N/A,UNS,UNSPED,Turkey,N
5261,Unifly Servizi Aerei,N/A,UNU,UNIEURO,Italy,N
5262,Ukrainian Pilot School,N/A,UPL,PILOT SCHOOL,Ukraine,N
5263,United Parcel Service,5X,UPS,UPS,United States,N
5264,Uraiavia,N/A,URV,URAI,Russia,N
5265,US Airways,US,USA,U S AIR,United States,Y
5266,US Check Airlines,N/A,USC,STAR CHECK,United States,N
5267,USAfrica Airways,N/A,USF,AFRICA EXPRESS,United States,N
5268,US Helicopter,N/A,USH,US-HELI,United States,Y
5269,US Jet,N/A,USJ,USJET,United States,N
5270,US Express,N/A,USX,AIR EXPRESS,United States,N
5271,UTair Aviation,UT,UTA,UTAIR,Russia,Y
5272,UTAGE,N/A,UTG,UTAGE,Equatorial Guinea,N
5273,Utair South Africa,N/A,UTR,AIRUT,South Africa,N
5274,Ukrainian State Air Traffic Service Enterprise,N/A,UTS,AIRRUH,Ukraine,N
5275,Urartu-Air,N/A,UTU,N/A,Armenia,N
5276,Universal Airways,N/A,UVA,UNIVERSAL,United States,N
5277,Universal Airlines,N/A,UVG,GUYANA JET,Guyana,N
5278,Uvavemex,N/A,UVM,UVAVEMEX,Mexico,N
5279,United States Air Force,N/A,AIO,AIR CHIEF,United States,Y
5280,United Aviation,N/A,UVN,UNITED AVIATION,Kuwait,N
5281,Uzbekistan Airways,HY,UZB,UZBEK,Uzbekistan,Y
5282,Ukraine International Airlines,PS,AUI,UKRAINE INTERNATIONAL,Ukraine,Y
5283,Universal Airlines,N/A,WEC,AIRGO,United States,N
5284,US Helicopter Corporation,UH,N/A,N/A,United States,Y
5288,V Australia Airlines,VA,VAU,KANGA,Australia,N
5289,V Bird Airlines Netherlands,N/A,VBA,VEEBEE,Netherlands,N
5290,V-avia Airline,N/A,WIW,VEE-AVIA,Ukraine,N
5291,V-Berd-Avia,N/A,VBD,VEEBIRD-AVIA,Armenia,N
5292,Vacationair,N/A,VAC,VACATIONAIR,Canada,N
5293,Valair AG (Helicoptere),N/A,RDW,ROADWATCH,Switzerland,N
5294,Valan International Cargo Charter,N/A,VLA,NALAU,South Africa,N
5295,Valan Limited,N/A,VLN,VALAN,Moldova,N
5296,Valfell-Verkflug,N/A,EHR,ROTOR,Iceland,N
5297,Valuair,VF,VLU,VALUAIR,Singapore,Y
5298,Van Air Europe,N/A,VAA,EUROVAN,Czech Republic,N
5299,Vanguardia en Aviacion en Colima,N/A,VGC,VANGUARDIA COLIMA,Mexico,N
5300,Vanguard Airlines,N/A,VGD,VANGUARD AIR,United States,N
5301,Vasco Air,N/A,VFC,VASCO AIR,Vietnam,Y
5302,Vega,N/A,VAG,SEGA,Kazakhstan,N
5303,Vega Air Company,N/A,WGA,WEGA FRANKO,Ukraine,N
5304,Veles,N/A,WEL, Ukrainian Aviation Company,VELES,N
5305,Verataxis,N/A,VTX,VERATAXIS,Mexico,N
5306,Veritair Ltd,N/A,BTP,NET RAIL,United Kingdom,N
5307,Voyageur Airways,VC,VAL,VOYAGEUR,Canada,N
5308,Vernicos Aviation,N/A,GRV,NIGHT RIDER,Greece,N
